"Proteins","Start.position","End.position","Intensity","Intensity.ST168.THF.A","Intensity.ST168.THF.O","Intensity.ST169.DMSO.A","Intensity.ST169.DMSO.O","Intensity.ST170.But.A","Intensity.ST170.But.O","Reverse","Potential.contaminant"
"P38915",97,114,20133000,7627600,0,5784500,0,6079800,640770,"",""
"P50276",341,363,75090000,0,43731000,0,9278700,0,22080000,"",""
"P39079",79,103,92236000,0,0,56963000,0,35273000,0,"",""
"P09938",9,20,324150000,81019000,4370800,124380000,0,105990000,8394200,"",""
"P09938",9,23,510840000,237420000,4973500,0,0,249990000,18459000,"",""
"P04802",65,77,34010000,6023400,0,16610000,0,11377000,0,"",""
"P04802",65,84,260630000,126990000,0,86639000,0,46994000,0,"",""
"P53075",538,545,14601000,0,0,0,0,14601000,0,"",""
"P15180",9,29,59714000,6096600,3453700,0,4866600,39719000,5578000,"",""
"P27809",92,104,5375500,5375500,0,0,0,0,0,"",""
"P15705",302,326,1204600000,10586000,0,623440000,3461700,559010000,8141500,"",""
"P27472",236,260,749630000,41639000,0,0,395040000,93609000,219340000,"",""
"Q12118",143,157,64414000,23021000,0,0,0,41393000,0,"",""
"P23337",236,260,498620000,0,0,0,389760000,0,108870000,"",""
"P38260",105,127,111450000,0,0,54068000,0,57377000,0,"",""
"P07285",238,265,169030000,0,169030000,0,0,0,0,"",""
"Q06505",358,369,23128000,12078000,0,11050000,0,0,0,"",""
"Q04697",286,306,383030000,64542000,0,64241000,166590000,87656000,0,"",""
"P25694",578,594,6509500000,856690000,1360100000,167960000,2082500000,528360000,1513900000,"",""
"P27692",266,276,58299000,35170000,0,23129000,0,0,0,"",""
"P35197",288,295,24209000,11515000,0,12694000,0,0,0,"",""
"P15180",50,59,10850000,6249100,0,1875600,0,2725700,0,"",""
"P38431",208,233,261830000,93182000,7808800,97912000,41468000,21455000,0,"",""
"P16521",188,196,1603300000,398200000,5873400,578240000,0,606630000,14356000,"",""
"Q05788",17,30,20519000,0,0,0,7248600,13270000,0,"",""
"P46969",125,161,794320000,0,220900000,0,424630000,0,148790000,"",""
"P14747",342,357,106820000,16992000,10593000,6470400,0,0,72763000,"",""
"P32263",27,39,536430000,188780000,4235700,160060000,0,178480000,4871400,"",""
"Q99258",137,145,59702000,0,0,59702000,0,0,0,"",""
"P54964",89,111,17267000,8674300,0,8592500,0,0,0,"",""
"P07342",292,300,349720000,102920000,0,119240000,0,127560000,0,"",""
"P81450",30,38,32444000,10879000,0,4982100,0,16582000,0,"",""
"P04161",49,57,105860000,47572000,2118600,0,0,56173000,0,"",""
"Q03714",502,525,7264500,0,0,4531200,0,2733400,0,"",""
"Q12296",427,457,7933500,0,0,0,0,7933500,0,"",""
"P38351",419,445,62814000,27611000,0,6721000,0,28482000,0,"",""
"P45818",23,47,4779500,0,0,0,0,4779500,0,"",""
"Q12363",298,309,819500000,220600000,0,310970000,0,280240000,7686300,"",""
"Q08208",54,81,57860000,9183300,0,6652100,0,42025000,0,"",""
"Q07478",26,52,77875000,39437000,460920,7488200,0,30489000,0,"",""
"Q07478",26,53,829860000,321840000,4438200,239090000,0,254750000,9745200,"",""
"P17967",501,522,1200100000,452140000,16116000,420500000,3877400,284430000,22993000,"",""
"P07245",58,82,2997200000,0,2151300000,0,845920000,0,0,"",""
"P19097",1858,1868,76913000,0,5255700,7641900,0,58419000,5597000,"",""
"P16862",891,901,211880000,77685000,3208400,65338000,0,62884000,2764500,"",""
"P16862",891,913,2000700000,854240000,22744000,116520000,0,1004400000,2799200,"",""
"P38689",234,242,278300000,86841000,3585500,94539000,1914600,85458000,5963700,"",""
"P39936",516,538,19784000,3751000,0,8283100,0,7749800,0,"",""
"P38431",276,286,307210000,146960000,6926400,0,0,153330000,0,"",""
"Q08647",370,384,73025000,21859000,1239400,26957000,0,22969000,0,"",""
"P14922",99,105,9630900,9630900,0,0,0,0,0,"",""
"P53115",649,661,6811400,0,0,6811400,0,0,0,"",""
"P38011",284,311,7538900000,1668200000,1756400000,1717900000,0,1935200000,461150000,"",""
"Q04599",86,108,6101000,0,0,0,6101000,0,0,"",""
"P33309",308,322,7654100,0,7654100,0,0,0,0,"",""
"Q12164",227,233,9427400,0,0,9427400,0,0,0,"",""
"P08539",166,178,20159000,0,0,20159000,0,0,0,"",""
"P42847",177,186,7997700,7997700,0,0,0,0,0,"",""
"P07256",242,250,2022000,0,2022000,0,0,0,0,"",""
"P19097",666,674,521720000,113140000,7988800,196250000,0,196190000,8143600,"",""
"P32628",171,178,89922000,33538000,0,36751000,0,18343000,1289500,"",""
"P53252",197,212,1013200000,48303000,9289300,483920000,18934000,452780000,0,"",""
"P25443",213,251,2181900000,261110000,588090000,179890000,304990000,206490000,641310000,"",""
"P25443",213,252,4421500000,416030000,1403500000,62552000,1570300000,353350000,615860000,"",""
"P10622",31,46,4937700000,1476300000,44051000,1825700000,16705000,1505600000,69239000,"",""
"P32337",719,749,54327000,0,54327000,0,0,0,0,"",""
"Q05584",250,260,32866000,12718000,398470,12388000,0,7361800,0,"",""
"P38625",2,29,3303400000,0,1665500000,14489000,781570000,0,841850000,"",""
"P00560",183,190,1.8626e+10,5244200000,332880000,5945300000,512150000,5564900000,1026200000,"",""
"P25367",68,84,102320000,7196500,0,84473000,0,10648000,0,"",""
"P02406",140,149,85865000,21846000,0,0,0,64018000,0,"",""
"P24280",165,180,201110000,60350000,0,120470000,0,20290000,0,"",""
"P25349",108,127,257550000,86209000,1120900,90472000,0,76895000,2855500,"",""
"P00498",180,200,1841500000,0,564310000,19152000,551850000,11281000,694910000,"",""
"P07702",350,371,64643000,0,0,37757000,0,26887000,0,"",""
"P32466",302,320,244910000,74371000,2158200,104250000,0,64137000,0,"",""
"P33421",60,70,58656000,25853000,1250100,0,0,30023000,1530000,"",""
"P16862",26,33,757980000,296830000,5447800,247980000,0,199330000,8384100,"",""
"Q12344",233,251,23478000,0,475850,11824000,0,10392000,786490,"",""
"P06168",116,126,2183500000,665850000,18089000,817660000,3467800,648240000,30244000,"",""
"P30665",64,79,36783000,9368400,0,12851000,0,14563000,0,"",""
"P00546",289,298,12667000,0,0,0,0,12667000,0,"",""
"P40024",206,218,333770000,22812000,0,22103000,102250000,0,186610000,"",""
"P17106",257,269,6923900,6923900,0,0,0,0,0,"",""
"P41835",323,348,28091000,0,0,19149000,0,8941200,0,"",""
"P40457",1623,1642,2864100,2864100,0,0,0,0,0,"",""
"P32473",195,232,750460000,0,0,30875000,385710000,0,333870000,"",""
"P14907",567,579,22303000,8720700,0,13582000,0,0,0,"",""
"Q12220",122,135,39628000,20814000,1377300,17437000,0,0,0,"",""
"Q12692",56,80,680850000,0,378720000,9688200,25005000,1498700,265930000,"",""
"P32471",111,120,14977000,11094000,0,3882500,0,0,0,"",""
"P31116",61,69,348840000,0,11877000,145660000,0,1.86e+08,5299300,"",""
"P32366",267,276,174170000,0,2462000,0,0,166470000,5237100,"",""
"P07245",785,805,638490000,201030000,4936200,196020000,0,236510000,0,"",""
"P40157",35,49,9656300,0,0,0,0,9656300,0,"",""
"Q06169",33,55,18218000,5973000,0,4281300,0,7963700,0,"",""
"P38210",117,144,155090000,0,0,0,108620000,46469000,0,"",""
"Q08601",320,331,41641000,16618000,0,25023000,0,0,0,"",""
"P06197",201,211,193200000,76595000,3718300,108160000,0,0,4727700,"",""
"P46655",221,233,730360000,379330000,14353000,0,22070000,287120000,27494000,"",""
"P39730",253,262,95685000,0,0,92184000,0,0,3500900,"",""
"P10127",130,149,16442000,16442000,0,0,0,0,0,"",""
"P15703",102,110,1039500000,267350000,0,336610000,0,435580000,0,"",""
"P08566",1440,1451,75141000,18227000,0,29112000,0,27802000,0,"",""
"P14922",65,81,0,0,0,0,0,0,0,"",""
"P53313",7,22,691280000,0,394950000,0,199930000,0,96407000,"",""
"P38630",348,383,9627700,9627700,0,0,0,0,0,"",""
"P04050",1200,1215,19466000,2731200,0,0,0,16735000,0,"",""
"P38753",373,404,6913300,0,0,0,6913300,0,0,"",""
"P04807",431,452,102540000,36797000,5473400,60266000,0,0,0,"",""
"Q12452",274,283,54102000,27701000,0,0,0,25213000,1188600,"",""
"P34241",971,988,15408000,0,0,7084700,0,8323700,0,"",""
"P23394",531,551,13084000,0,0,6631900,0,6451700,0,"",""
"P07262",372,391,922820000,91174000,3607200,5.52e+08,7763800,264520000,3763600,"",""
"P07143",167,182,16291000,16291000,0,0,0,0,0,"",""
"P07259",1565,1598,535610000,110800000,9371900,188020000,0,217900000,9525100,"",""
"P05694",420,426,2543500,0,2543500,0,0,0,0,"",""
"P33311",689,702,6607700,0,0,0,0,6607700,0,"",""
"P21524",854,871,146430000,48643000,1499200,57120000,0,39165000,0,"",""
"P08518",229,241,30887000,10094000,0,0,0,20793000,0,"",""
"Q05518",270,291,19651000,0,0,9031800,0,10619000,0,"",""
"Q05518",270,292,3901500,3901500,0,0,0,0,0,"",""
"P00924",359,375,2510500000,700200000,20625000,954060000,103370000,687350000,44896000,"",""
"P00925",359,375,2.8e+10,8385200000,285950000,1.0828e+10,452120000,7686600000,362140000,"",""
"P07149",1686,1693,55665000,0,3264300,0,0,52400000,0,"",""
"P23615",863,875,42165000,22445000,0,0,0,19720000,0,"",""
"P07244",103,110,150260000,89469000,1142700,56258000,0,0,3391200,"",""
"P09624",45,57,317730000,101870000,3783500,109070000,0,98921000,4091200,"",""
"P09624",45,58,34513000,0,0,28771000,0,5741900,0,"",""
"P07991",329,341,80361000,0,0,80361000,0,0,0,"",""
"P22515",289,305,193540000,36229000,0,42585000,11056000,103670000,0,"",""
"P22470",292,309,14661000,4325800,0,3992700,0,6343000,0,"",""
"P19097",1503,1514,471470000,215690000,3732500,141970000,0,106130000,3950700,"",""
"P19097",1503,1515,33768000,0,0,22922000,0,10846000,0,"",""
"P40413",2,33,1187100000,189600000,0,0,653580000,0,343940000,"",""
"P00817",257,268,368490000,120830000,7041000,122170000,1050200,110390000,7001700,"",""
"P12945",215,228,105730000,7748300,0,47544000,0,49679000,761990,"",""
"P53739",412,433,2930900,2930900,0,0,0,0,0,"",""
"P53742",58,70,51721000,18438000,0,17008000,0,15385000,890280,"",""
"P43583",2010,2033,109250000,0,0,0,0,0,109250000,"",""
"P43535",347,373,0,0,0,0,0,0,0,"",""
"P11745",169,182,202430000,67180000,0,79296000,23866000,32090000,0,"",""
"Q06315",149,164,9861700,9861700,0,0,0,0,0,"",""
"Q03455",37,49,0,0,0,0,0,0,0,"",""
"P32349",61,73,73367000,0,73367000,0,0,0,0,"",""
"P14922",813,844,35866000,18485000,0,0,0,17381000,0,"",""
"P22137",1101,1126,328610000,86573000,0,84189000,56190000,101660000,0,"",""
"P22137",1101,1136,0,0,0,0,0,0,0,"",""
"P38781",117,132,7223000,2492500,0,2538200,0,2192300,0,"",""
"P38431",157,165,70928000,41009000,0,0,0,29919000,0,"",""
"Q04958",411,427,7002500,0,0,0,0,7002500,0,"",""
"P53733",39,50,41232000,0,0,0,0,0,41232000,"",""
"P38689",180,196,303310000,113360000,8395300,0,167800000,0,13759000,"",""
"P22135",285,296,8131400,0,0,8131400,0,0,0,"",""
"P53973",125,137,23364000,0,0,0,0,23364000,0,"",""
"P38328",109,121,16438000,16438000,0,0,0,0,0,"",""
"P07278",259,275,134790000,0,0,39022000,0,33813000,61952000,"",""
"Q05050",360,371,15081000,5983600,0,4071200,0,5025700,0,"",""
"P19882",427,443,2910700000,774300000,42887000,959130000,164140000,887640000,82633000,"",""
"Q06142",801,819,558060000,192780000,0,73420000,0,107720000,184140000,"",""
