"id","numberofAA"
"sp|P38631|FKS1_YEAST",1876
"sp|P40989|FKS2_YEAST",1895
"sp|P22147|XRN1_YEAST",1528
"sp|P33302|PDR5_YEAST",1511
"sp|Q03834|MSH6_YEAST",1242
"sp|P08539|GPA1_YEAST",472
"sp|P12904|AAKG_YEAST",322
"sp|P06169|PDC1_YEAST",563
"sp|P25847|MSH2_YEAST",964
"sp|P06782|SNF1_YEAST",633
"sp|P02994|EF1A_YEAST",458
"sp|P28240|ACEA_YEAST",557
"sp|P41277|GPP1_YEAST",250
"sp|P32485|HOG1_YEAST",435
"sp|P53104|ATG1_YEAST",897
"sp|P46946|COM1_YEAST",345
"sp|P38766|RRM3_YEAST",723
"sp|P31378|NTH1_YEAST",399
"sp|P32791|FRE1_YEAST",686
"sp|P39013|END3_YEAST",349
"sp|P32478|HS150_YEAST",413
"sp|Q03497|STE20_YEAST",939
"sp|P32944|SWE1_YEAST",819
"sp|P19145|GAP1_YEAST",602
"sp|P10081|IF4A_YEAST",395
"sp|P32324|EF2_YEAST",842
"sp|P21192|ACE2_YEAST",770
"sp|P46993|ASG7_YEAST",209
"sp|P47117|ARP3_YEAST",449
"sp|P22768|ASSY_YEAST",420
"sp|P29311|BMH1_YEAST",267
"sp|Q06333|BL1S4_YEAST",122
"sp|P47068|BBC1_YEAST",1157
"sp|P53082|BOL2_YEAST",120
"sp|P53958|BOP3_YEAST",396
"sp|P38910|CH10_YEAST",106
"sp|Q00362|2ABA_YEAST",526
"sp|P54783|ALO_YEAST",526
"sp|P47064|AP3S_YEAST",194
"sp|Q01896|ATN2_YEAST",1091
"sp|P25300|BUD5_YEAST",642
"sp|P35203|CBF3C_YEAST",478
"sp|P32468|CDC12_YEAST",407
"sp|P53974|ARK1_YEAST",638
"sp|P53286|BTN2_YEAST",410
"sp|P48582|BRO1_YEAST",844
"sp|P53838|BOR1_YEAST",576
"sp|P40580|BZRD_YEAST",263
"sp|P39113|CAT8_YEAST",1433
"sp|P04817|CAN1_YEAST",590
"sp|P07245|C1TC_YEAST",946
"sp|P37366|CCL1_YEAST",393
"sp|P0C155|CBPS2_YEAST",581
"sp|Q03654|CEF1_YEAST",590
"sp|P47096|3HAO_YEAST",177
"sp|P42884|AAD14_YEAST",376
"sp|Q03798|AIM36_YEAST",255
