"Proteins","Start.position","End.position","Intensity","Reverse","Potential.contaminant"
"P09938",9,20,324150000,"",""
"Q04697",286,306,383030000,"",""
"P39935",468,479,97289000,"",""
"P39993",254,276,15316000,"",""
"P09938",103,117,36266000,"",""
"P40961",216,228,81484000,"",""
"P38788",323,344,8270400000,"",""
"P18899",32,45,17459000,"",""
"P40037",53,61,24862000,"",""
"P38998",10,18,5845100,"",""
"P07702",911,918,42354000,"",""
"P31688",360,372,47825000,"",""
"P09950",404,431,1148100000,"",""
"Q00955",589,597,231660000,"",""
"P46681",280,296,54047000,"",""
"Q12019",4770,4780,11012000,"",""
"P31412",43,49,63452000,"",""
"Q07527",1178,1187,3454800,"",""
"Q12125",26,37,35635000,"",""
"P39940",765,773,22545000,"",""
"Q12680",1804,1813,20280000,"",""
"Q12389",332,341,72237000,"",""
"P38708",168,183,1000200000,"",""
"P04802",498,509,8686000,"",""
"P80210",103,115,266300000,"",""
"P06776",434,447,2820000,"",""
"P16547",130,140,16596000,"",""
"P54837",114,126,91974000,"",""
"P39685",1005,1019,14273000,"",""
"P41338",97,106,704660000,"",""
"P04801",601,608,540490000,"",""
"Q3E754",45,60,1.342e+10,"",""
"P33416",127,133,25247000,"",""
"P32481",119,127,366580000,"",""
"P53871",69,85,11491000,"",""
"P29952",277,300,48008000,"",""
"P40825",476,485,11170000,"",""
"P07264",335,348,92540000,"",""
"P25586",63,83,14574000,"",""
"P53195",204,232,26219000,"",""
"P38737",651,661,15669000,"",""
"P40495",75,82,84421000,"",""
"P33333",150,159,99771000,"",""
"P47047",356,374,34432000,"",""
"Q04304",25,37,33974000,"",""
"P40693",107,130,5519300,"",""
"P41810",437,449,49827000,"",""
"Q06706",819,827,5855700,"",""
"P32639",2122,2137,5937800,"",""
"P05626",164,176,25888000,"",""
"P53881",206,213,23874000,"",""
"P32353",345,363,57777000,"",""
"P53549",195,209,373710000,"",""
"Q03034",416,424,2502000,"",""
"P00549",226,233,4.518e+09,"",""
"Q04432",93,116,19212000,"",""
"P47123",59,71,19528000,"",""
"P41811",424,438,81565000,"",""
"Q03370",370,388,6732000,"",""
"P27810",230,243,122840000,"",""
"P07702",957,968,50018000,"",""
"P38972",998,1014,603440000,"",""
"Q08745",78,95,1.1162e+10,"",""
"P15303",187,218,304090000,"",""
"P38088",524,538,1365600000,"",""
"P40069",208,224,8598400000,"",""
"P47096",102,123,153610000,"",""
"P32386",694,711,99162000,"",""
"P23641",20,42,224410000,"",""
"Q05911",142,167,150930000,"",""
"P38968",308,324,24455000,"",""
"P40364",26,37,178310000,"",""
"P28319",69,98,157310000,"",""
"Q12532",668,682,61160000,"",""
"P14772",734,744,4557400,"",""
"Q02875",271,289,13702000,"",""
"Q08686",192,200,11890000,"",""
"P32861",48,60,383320000,"",""
"P32074",276,285,8104100,"",""
"P28495",75,91,3.007e+09,"",""
"Q99369",146,154,3292200,"",""
"P38840",56,65,50489000,"",""
"P38795",128,149,85020000,"",""
"P32327",990,1006,27926000,"",""
"P19262",291,299,477360000,"",""
"P43639",34,64,5224100,"",""
"P39958",183,190,32291000,"",""
"P13663",172,214,36062000,"",""
"P40506",94,103,19853000,"",""
"P25303",65,80,53979000,"",""
"P47075",459,486,751260000,"",""
"P40462",515,544,1.31e+08,"",""
"P26755",97,113,28713000,"",""
"Q12500",272,282,328780000,"",""
"P53010",625,632,33647000,"",""
"P38121",310,322,5140700,"",""
"P49017",175,201,6463300,"",""
"P22147",1005,1013,24236000,"",""
"Q06218",235,246,1687000,"",""
"Q03690",186,198,88040000,"",""
"P06105",1165,1177,67691000,"",""
"P36006",196,214,30621000,"",""
"P14832",81,87,1953200,"",""
"P39960",1717,1733,25573000,"",""
"P07259",1856,1882,940900000,"",""
"Q07896",176,186,105230000,"",""
"P38217",489,515,513930000,"",""
"P46989",36,44,49473000,"",""
"P04802",267,274,59681000,"",""
"P16861",335,344,549400000,"",""
"P50107",219,230,445450000,"",""
"Q06214",99,109,20729000,"",""
"P49723",35,41,2634700000,"",""
"P40066",129,147,16996000,"",""
"P41810",458,478,24483000,"",""
"P38555",85,97,346990000,"",""
"Q06385",98,107,31022000,"",""
"P32449",100,107,51997000,"",""
"P05030",520,548,105310000,"",""
"P16521",843,851,1425500000,"",""
"P25087",97,106,33601000,"",""
"Q06494",90,100,31923000,"",""
"P53742",441,451,3234300,"",""
"P36144",237,245,23181000,"",""
"P43593",51,60,41545000,"",""
"P16387",170,204,3725800000,"",""
"P38998",114,131,40426000,"",""
"P53622",251,275,261530000,"",""
"P10081",323,341,2685500000,"",""
"P40580",13,20,18781000,"",""
"P35207",203,221,3889800,"",""
"P38355",153,168,4216900,"",""
"P28273",67,76,16011000,"",""
"P00830",371,387,1.453e+09,"",""
"Q05567",255,273,42390000,"",""
"P37302",211,224,29882000,"",""
"Q00416",1494,1514,4097600,"",""
"P31787",64,84,98033000,"",""
"Q02785",325,339,45699000,"",""
"P22515",158,182,643160000,"",""
"P50861",5,17,599370000,"",""
"P46683",2,21,349560000,"",""
"P36013",423,442,239370000,"",""
"P53169",43,50,31585000,"",""
"P21801",249,261,16777000,"",""
"P05694",265,277,1907300000,"",""
"Q12680",1384,1396,5783900,"",""
"Q07953",63,73,16887000,"",""
"P21524",828,838,5889900,"",""
"P05694",563,573,256310000,"",""
"P38883",20,31,11681000,"",""
"P32598",122,131,6430800,"",""
"P33892",2605,2619,199370000,"",""
"Q03761",320,331,6933800,"",""
"P15625",181,190,104010000,"",""
"Q08220",178,197,13274000,"",""
"P42937",97,106,67714000,"",""
"P17649",125,144,69437000,"",""
"P32915",276,284,112910000,"",""
"P25617",29,52,60148000,"",""
"P13298",153,184,109010000,"",""
"P36114",426,442,42343000,"",""
"Q08972",1111,1132,336380000,"",""
"P38698",68,86,43309000,"",""
"P02400",50,62,5735800000,"",""
"P32340",374,405,119500000,"",""
"P32499",560,586,62825000,"",""
"P49167",47,61,7.791e+09,"",""
"Q07418",35,46,2144100,"",""
"P26637",405,424,522220000,"",""
"P38219",326,351,233450000,"",""
"Q06336",493,511,11461000,"",""
"P33775",91,103,41709000,"",""
"P19882",40,55,1.3346e+10,"",""
"P53893",774,784,8918600,"",""
"P38627",17,28,76061000,"",""
"P00549",178,196,169440000,"",""
"Q02792",2,8,7318200,"",""
"P52893",413,421,1062600,"",""
"P09232",318,338,19236000,"",""
"P47133",243,252,108220000,"",""
"P16862",257,270,706850000,"",""
"P07284",203,215,576870000,"",""
"Q12396",59,73,12633000,"",""
"Q04409",465,478,17217000,"",""
"P39976",319,329,11683000,"",""
"Q12074",109,126,117290000,"",""
"P08678",1896,1906,852350,"",""
"P00927",430,438,27234000,"",""
"P04807",47,54,1190800000,"",""
"Q08421",198,228,25039000,"",""
"P07263",86,99,330280000,"",""
"P00815",243,253,316340000,"",""
"P14832",89,123,1597100000,"",""
