"id","num_amino_acids_in_sample","num_chain_amino_acids_in_sample","numberofAA","num_caa"
"Q03407",21,6,766,487
"Q12236",21,6,1081,787
"Q12181",12,8,623,272
"P14306",7,0,219,121
"P49775",22,11,206,100
"Q04344",21,10,158,76
"Q06146",23,23,321,314
"P40959",8,0,511,207
"P54781",13,6,538,209
"Q03769",14,2,411,279
"P25358",30,14,347,123
"Q06704",9,0,911,220
"P17649",19,13,471,216
"P54790",10,4,616,229
"P38112",15,11,773,470
"P35181",7,2,156,48
"P31755",7,1,480,289
"P25617",7,0,290,171
"P05740",10,3,184,100
"P46990",10,3,184,99
"P05738",19,8,191,65
"P51401",19,8,191,64
"Q04299",23,16,284,138
"P39994",27,10,560,227
"P12630",32,15,587,382
"P00854",17,0,259,65
"P38754",9,2,138,49
"P06245",17,8,380,199
"P53067",35,13,1004,305
"P40553",9,3,215,126
"P36136",21,14,271,143
"Q08925",8,5,612,362
"P28791",21,3,383,159
"Q03705",12,11,181,79
"Q08932",19,10,381,282
"P38775",24,6,560,292
"P32802",12,0,667,238
"P38755",14,7,437,203
"P40559",19,2,946,417
"O14455",9,9,100,47
"P40215",16,10,560,238
"P40893",14,5,198,88
"Q6Q547",9,5,58,32
"P07285",9,0,380,136
"P35723",36,22,206,73
"P43555",26,4,445,215
"Q01976",12,0,231,107
"Q05015",13,7,223,102
"P22214",16,2,214,88
"Q07951",13,0,179,81
"Q03629",21,12,201,103
"P38323",12,7,520,293
"P38985",11,5,146,88
"P36046",14,14,403,321
"Q04651",25,12,352,160
"Q12108",16,7,567,279
"P43577",15,7,159,67
"Q6Q546",12,3,73,27
"P37838",10,1,685,389
"P00427",19,7,148,59
"P46957",9,5,487,259
"P15731",27,9,148,64
"P48563",18,1,1636,570
"Q03722",13,5,664,403
"P53258",9,1,950,391
"P40018",8,0,196,143
"P27351",13,1,700,254
"Q03323",14,2,175,132
"P38170",8,8,754,550
"P36000",11,1,726,245
"Q04500",10,10,899,768
"P12753",8,0,1312,203
"Q03088",16,3,825,536
"P40545",10,3,261,108
"P53301",11,5,507,375
"P30665",9,6,933,488
"P53552",19,9,1597,686
"P36059",11,2,337,127
"P81449",10,0,96,32
"P22336",10,1,621,279
"P40498",33,26,721,428
"Q12089",8,3,606,219
"Q06488",16,16,889,586
"P38805",13,0,295,124
"P53199",9,2,349,143
"P32388",16,3,137,61
"Q12151",10,2,913,627
"Q06096",15,0,861,260
"P53953",15,10,876,463
"P38959",20,6,992,473
"P40554",13,5,99,40
"P36147",19,19,197,87
"P38138",21,6,954,492
"P32656",12,0,232,93
"Q99288",10,0,334,172
"P33317",8,0,147,86
"Q99260",10,4,215,103
"P38063",17,3,326,150
"P54730",30,13,416,243
"P47061",29,0,822,272
"P53297",27,25,722,589
"Q04201",28,28,117,78
"P38068",12,5,203,128
"P36009",12,1,735,317
"P39692",19,8,1035,451
"P53848",21,2,824,360
"P32495",8,8,156,70
"P34761",11,5,661,537
"Q03790",15,15,475,383
"P52893",32,15,592,250
"P32478",10,3,413,207
"Q12091",21,21,152,91
"P21672",38,31,869,398
"P38789",18,5,453,276
"P47122",14,10,385,184
"P35178",40,9,278,102
"D6VTK4",14,14,431,202
"P38992",20,10,349,118
"P56628",22,11,122,59
"P39704",26,14,215,86
"Q12267",13,0,1418,431
"Q04383",15,4,521,351
"P12686",20,5,339,124
"Q03361",17,8,876,622
"P43601",9,9,500,322
"P32799",10,10,129,63
"P38821",15,11,490,241
"P20095",12,1,876,424
"P38071",39,19,380,162
"Q12434",21,11,202,93
"Q96VH4",27,10,193,87
"P20435",19,19,155,112
"Q04432",33,14,237,111
"P10664",16,16,362,226
"P49626",16,16,362,227
"P22696",10,7,170,80
"P24521",33,11,451,191
"P05749",50,23,121,60
"P25340",11,9,473,168
"Q03124",8,0,581,272
"P25515",33,7,160,26
"Q03954",19,2,165,59
"P40151",14,12,587,323
"P04037",20,16,155,105
"Q06508",16,10,300,137
"Q12362",22,7,591,326
"P05737",9,0,244,93
"P22579",10,0,1536,1020
"P53081",38,26,288,136
"P32897",26,26,222,99
"P39936",35,35,914,660
"P41318",14,5,303,143
"P38970",10,10,855,629
"P26784",47,26,199,84
"P53121",21,5,802,377
