"id","num_amino_acids_in_sample","num_beta_amino_acids_in_sample","numberofAA","num_baa"
"Q03407",21,0,NA,NA
"Q12236",21,0,NA,NA
"Q12181",12,0,NA,NA
"P14306",7,7,NA,NA
"P49775",22,11,NA,NA
"Q04344",21,11,NA,NA
"Q06146",23,0,NA,NA
"P40959",8,0,NA,NA
"P54781",13,6,NA,NA
"Q03769",14,0,NA,NA
"P25358",30,0,NA,NA
"Q06704",9,0,NA,NA
"P17649",19,5,NA,NA
"P54790",10,5,NA,NA
"P38112",15,0,NA,NA
"P35181",7,5,NA,NA
"P31755",7,0,NA,NA
"P25617",7,0,NA,NA
"P05740",10,0,NA,NA
"P46990",10,0,NA,NA
"P05738",19,11,NA,NA
"P51401",19,11,NA,NA
"Q04299",23,4,NA,NA
"P39994",27,5,NA,NA
"P12630",32,16,NA,NA
"P00854",17,0,NA,NA
"P38754",9,0,NA,NA
"P06245",17,0,NA,NA
"P53067",35,6,NA,NA
"P40553",9,6,NA,NA
"P36136",21,4,NA,NA
"Q08925",8,0,NA,NA
"P28791",21,0,NA,NA
"Q03705",12,1,NA,NA
"Q08932",19,3,NA,NA
"P38775",24,6,NA,NA
"P32802",12,12,NA,NA
"P38755",14,0,NA,NA
"P40559",19,3,NA,NA
"O14455",9,0,NA,NA
"P40215",16,5,NA,NA
"P40893",14,9,NA,NA
"Q6Q547",9,4,NA,NA
"P07285",9,0,NA,NA
"P35723",36,0,NA,NA
"P43555",26,8,NA,NA
"Q01976",12,0,NA,NA
"Q05015",13,0,NA,NA
"P22214",16,0,NA,NA
"Q07951",13,0,NA,NA
"Q03629",21,2,NA,NA
"P38323",12,4,NA,NA
"P38985",11,0,NA,NA
"P36046",14,0,NA,NA
"Q04651",25,0,NA,NA
"Q12108",16,0,NA,NA
"P43577",15,0,NA,NA
"Q6Q546",12,0,NA,NA
"P37838",10,8,NA,NA
"P00427",19,0,NA,NA
"P46957",9,4,NA,NA
"P15731",27,0,NA,NA
"P48563",18,0,NA,NA
"Q03722",13,6,NA,NA
"P53258",9,7,NA,NA
"P40018",8,8,NA,NA
"P27351",13,0,NA,NA
"Q03323",14,0,NA,NA
"P38170",8,0,NA,NA
"P36000",11,0,NA,NA
"Q04500",10,0,NA,NA
"P12753",8,0,NA,NA
"Q03088",16,4,NA,NA
"P40545",10,4,NA,NA
"P53301",11,6,NA,NA
"P30665",9,3,NA,NA
"P53552",19,0,NA,NA
"P36059",11,4,NA,NA
"P81449",10,0,NA,NA
"P22336",10,9,NA,NA
"P40498",33,6,NA,NA
"Q12089",8,0,NA,NA
"Q06488",16,0,NA,NA
"P38805",13,13,NA,NA
"P53199",9,0,NA,NA
"P32388",16,0,NA,NA
"Q12151",10,0,NA,NA
"Q06096",15,0,NA,NA
"P53953",15,5,NA,NA
"P38959",20,14,NA,NA
"P40554",13,3,NA,NA
"P36147",19,0,NA,NA
"P38138",21,12,NA,NA
"P32656",12,6,NA,NA
"Q99288",10,0,NA,NA
"P33317",8,8,NA,NA
"Q99260",10,6,NA,NA
"P38063",17,6,NA,NA
"P54730",30,7,NA,NA
"P47061",29,1,NA,NA
"P53297",27,1,NA,NA
"Q04201",28,0,NA,NA
"P38068",12,7,NA,NA
"P36009",12,0,NA,NA
"P39692",19,1,NA,NA
"P53848",21,1,NA,NA
"P32495",8,0,NA,NA
"P34761",11,6,NA,NA
"Q03790",15,0,NA,NA
"P52893",32,8,NA,NA
"P32478",10,7,NA,NA
"Q12091",21,0,NA,NA
"P21672",38,0,NA,NA
"P38789",18,11,NA,NA
"P47122",14,4,NA,NA
"P35178",40,0,NA,NA
"D6VTK4",14,0,NA,NA
"P38992",20,0,NA,NA
"P56628",22,5,NA,NA
"P39704",26,0,NA,NA
"Q12267",13,0,NA,NA
"Q04383",15,11,NA,NA
"P12686",20,0,NA,NA
"Q03361",17,7,NA,NA
"P43601",9,0,NA,NA
"P32799",10,0,NA,NA
"P38821",15,4,NA,NA
"P20095",12,0,NA,NA
"P38071",39,12,NA,NA
"Q12434",21,4,NA,NA
"Q96VH4",27,4,NA,NA
"P20435",19,0,NA,NA
"Q04432",33,7,NA,NA
"P10664",16,0,NA,NA
"P49626",16,0,NA,NA
"P22696",10,3,NA,NA
"P24521",33,0,NA,NA
"P05749",50,20,NA,NA
"P25340",11,2,NA,NA
"Q03124",8,0,NA,NA
"P25515",33,0,NA,NA
"Q03954",19,0,NA,NA
"P40151",14,0,NA,NA
"P04037",20,0,NA,NA
"Q06508",16,0,NA,NA
"Q12362",22,15,NA,NA
"P05737",9,0,NA,NA
"P22579",10,0,NA,NA
"P53081",38,11,NA,NA
"P32897",26,0,NA,NA
"P39936",35,0,NA,NA
"P41318",14,9,NA,NA
"P38970",10,0,NA,NA
"P26784",47,8,NA,NA
"P53121",21,0,NA,NA
"P43563",23,0,NA,NA
"P45978",13,0,NA,NA
"P25342",28,0,NA,NA
"P33311",9,0,NA,NA
"P39685",10,0,NA,NA
"O94742",12,0,NA,NA
"P10356",21,5,NA,NA
"P52870",10,0,NA,NA
"P50947",26,0,NA,NA
"P40210",13,0,NA,NA
"P50623",7,0,NA,NA
"P32767",19,0,NA,NA
"Q06639",30,0,NA,NA
"P53378",16,0,NA,NA
"P53335",15,0,NA,NA
"P41920",23,5,NA,NA
"Q08581",20,0,NA,NA
"Q04969",28,0,NA,NA
"Q08179",17,0,NA,NA
"P46988",12,0,NA,NA
"P04161",9,0,NA,NA
"P38244",15,9,NA,NA
"P06367",7,0,NA,NA
"P53337",12,0,NA,NA
"P32908",14,0,NA,NA
"P38129",38,8,NA,NA
"P47170",19,0,NA,NA
"Q3E834",42,0,NA,NA
"Q07657",12,1,NA,NA
"P40054",45,6,NA,NA
"P17629",19,0,NA,NA
"Q05942",26,0,NA,NA
"P20795",40,7,NA,NA
"P48570",12,0,NA,NA
"P48445",22,5,NA,NA
"P38122",17,0,NA,NA
"Q12242",18,0,NA,NA
"P06174",11,0,NA,NA
"Q05050",16,0,NA,NA
"Q12748",17,0,NA,NA
"P38749",14,0,NA,NA
"Q02199",49,0,NA,NA
"P32492",18,3,NA,NA
"P32477",22,6,NA,NA
"P32831",13,5,NA,NA
"P36108",9,0,NA,NA
"Q06505",12,0,NA,NA
"P19358",34,8,NA,NA
"P28789",32,9,NA,NA
"P38131",10,0,NA,NA
"P53270",9,9,NA,NA
"P32447",9,7,NA,NA
"P34163",10,0,NA,NA
"P40579",20,5,NA,NA
"P32566",39,17,NA,NA
"P33313",12,0,NA,NA
"P53012",15,0,NA,NA
"Q12305",15,0,NA,NA
"P25374",17,0,NA,NA
"Q06169",11,0,NA,NA
"P49334",54,0,NA,NA
"P32458",19,0,NA,NA
"P32842",18,0,NA,NA
"Q12329",23,0,NA,NA
"P53088",14,0,NA,NA
"P36168",9,4,NA,NA
"P17898",13,0,NA,NA
"P53507",13,0,NA,NA
"P53171",8,0,NA,NA
"P14922",26,0,NA,NA
"P40517",10,0,NA,NA
"P38169",54,17,NA,NA
"P39002",10,0,NA,NA
"P32591",19,0,NA,NA
"P11633",13,0,NA,NA
"Q12033",10,3,NA,NA
