"id","num_amino_acids_in_sample","num_alpha_amino_acids_in_sample","numberofAA","num_aaa"
"P53008",18,12,833,289
"P09440",16,1,975,383
"P10869",30,14,527,223
"P40303",27,1,254,91
"Q07381",19,0,788,154
"P21147",12,3,510,267
"P40581",22,14,163,60
"P07251",31,20,545,215
"P41835",38,12,540,243
"P39524",21,12,1355,586
"P53265",16,9,400,139
"P53912",22,9,376,117
"P53073",21,0,190,98
"P53141",9,5,149,86
"P29366",10,0,551,100
"P25375",12,8,712,402
"P09959",14,2,803,366
"P38836",26,10,430,141
"P25294",15,5,352,79
"P38701",13,6,121,25
"P32527",20,7,433,232
"P39683",29,16,429,188
"P08518",14,0,1224,340
"P40016",7,7,523,305
"P47771",11,8,506,204
"Q06505",15,0,410,116
"Q02256",12,3,364,89
"P40312",23,6,120,50
"P38805",19,8,295,88
"P22147",15,0,1528,510
"Q02821",23,17,542,355
"P25635",9,0,923,117
"Q01802",10,8,451,195
"P32832",17,0,435,97
"P53972",9,8,490,206
"P00330",13,10,348,109
"P32473",21,13,366,147
"P0CS90",27,0,654,254
"P38625",16,0,525,183
"P12962",14,0,161,25
"P33299",11,3,467,178
"P01119",19,4,309,64
"P32776",19,0,642,248
"P07262",19,7,454,209
"P37304",27,0,830,158
"P13186",14,8,1147,179
"P08524",21,17,352,269
"P15646",36,14,327,67
"Q08985",15,6,325,149
"Q12455",13,4,300,95
"P22336",10,0,621,109
"P09436",41,19,1072,474
"P28707",11,0,216,8
"P36059",11,5,337,172
"P32855",68,29,1065,685
"P06208",30,14,619,232
"P23542",10,0,418,192
"P12709",15,0,554,296
"P00729",30,16,532,203
"P06780",16,3,209,70
"P47013",10,0,409,266
"P14906",9,2,663,286
"P40318",22,0,1319,677
"P39109",15,5,1515,915
"Q06408",23,13,635,254
"P38061",13,2,130,26
"P40081",12,9,178,56
"P40693",14,0,322,103
"P27809",13,0,442,145
"P25605",25,0,309,76
"P32897",19,0,222,123
"P32377",13,0,396,165
"P26786",22,10,190,74
"P53731",11,10,342,139
"P25340",11,0,473,280
"P38707",15,5,554,193
"P07347",13,0,238,59
"P50109",8,0,593,74
"P28625",21,0,365,118
"Q04602",30,0,768,469
"P22138",24,0,1203,355
"P14306",32,0,219,33
"P47025",11,8,714,139
"P07260",8,0,213,46
"P38710",10,5,295,92
"Q03661",13,0,1658,105
"P29029",15,0,562,128
"Q06685",12,0,1146,343
"P47122",36,0,385,167
"P35844",14,6,434,126
"P46988",12,10,109,96
"P38691",41,0,1029,121
"P53252",10,10,339,184
"P37263",11,0,153,37
"P07702",46,0,1392,294
"P34072",20,0,584,49
"P53834",20,0,153,40
"P41921",15,0,483,156
"P07283",8,0,254,95
"Q08225",17,0,711,322
"P38144",30,7,1129,552
"P48559",16,3,417,101
"Q00772",22,17,484,151
"P49334",34,34,152,73
"P46682",14,0,809,429
"P11633",13,8,99,55
"P53278",10,10,816,356
"Q07395",13,11,620,417
"P10659",11,10,382,114
"P10174",28,26,60,39
"P06634",22,9,604,174
"P38879",17,4,174,49
"Q05029",15,8,724,369
"P31334",17,0,269,27
"Q12329",12,0,375,22
"P24783",12,4,546,185
"P39101",10,8,391,258
"P09624",11,4,499,149
"P53313",21,5,767,366
"Q08647",15,0,676,214
"P40471",21,11,297,154
"P12945",24,0,854,604
"Q03640",18,1,1545,191
"P32356",16,0,751,312
"P43621",37,0,546,75
"O60200",15,15,86,51
"Q05775",11,11,265,94
"P04840",19,0,283,12
"P33418",14,14,1100,768
"P38166",12,0,215,124
"P40159",23,0,199,30
"P02992",11,10,437,104
"Q03532",16,0,505,204
"P17536",18,3,199,171
"P41807",9,9,478,348
"P38219",11,11,394,167
"Q06440",12,2,651,24
"P07245",48,11,946,376
"P25360",11,8,923,543
"Q05123",10,0,467,163
"P32469",19,13,300,105
"P11353",15,10,328,135
"P32496",8,6,274,179
"P22133",14,0,377,162
"Q03655",43,8,524,119
"P36018",7,7,234,71
"P53334",31,11,386,109
"Q12305",15,6,139,47
"P38833",15,6,243,30
"P00931",21,12,707,320
"Q03361",12,0,876,194
"P18562",13,10,216,71
"P19263",19,0,1082,363
"P20433",11,9,221,93
"P25847",11,0,964,462
"P43554",10,9,623,155
"Q04934",11,9,453,206
"P53224",19,0,222,101
"P38891",31,0,393,85
"P30665",14,0,933,282
"P39078",13,0,528,291
"Q05040",8,0,523,94
"P32521",11,0,1480,119
"P19956",16,1,98,40
"P35688",18,0,1017,371
"P34248",16,10,587,336
"P38077",13,0,311,159
"P41818",10,9,229,51
"Q03799",14,0,155,45
"Q06632",9,0,1357,88
"P40047",19,9,520,209
"Q04869",17,0,349,132
"Q12122",10,0,440,186
"P10591",12,7,642,248
"P22203",29,21,233,166
"P32939",14,10,208,67
"P46962",26,4,323,174
"P42936",11,2,225,135
"Q12063",10,0,375,130
"P53218",10,10,158,53
"P22082",10,6,1703,598
"P25370",9,9,566,260
"P05319",21,15,106,44
"P22202",28,20,642,252
"Q04739",17,0,417,14
"P32770",18,0,719,122
"P33895",19,19,451,374
"Q08282",15,0,695,159
"P04076",31,22,463,299
"Q07716",10,8,390,126
"P43573",13,10,796,270
"Q12164",15,9,279,199
"Q99385",17,0,411,311
"P25694",10,5,835,313
"P38825",46,15,639,394
"Q04951",16,9,389,112
"P32563",30,9,840,499
"P53200",12,7,248,92
"P23180",12,0,465,111
"Q02629",23,0,959,26
"P37262",15,6,315,79
"P30822",8,8,1084,811
"P40496",13,0,264,115
"Q12452",11,11,347,172
"Q03919",21,4,77,19
"Q08229",11,10,501,58
"Q02455",18,2,1875,1480
"P53909",14,8,347,193
"P40413",21,21,562,281
"P10964",13,0,1664,695
"P48567",10,0,403,148
"P10507",26,10,462,212
"P47037",11,10,1230,852
"P43596",8,7,787,281
"P89105",7,7,1077,701
"P48360",9,3,493,170
"P20049",9,9,452,275
"P32914",15,9,102,34
"P38682",11,0,493,118
"P38910",20,0,106,3
"P38688",25,17,640,392
"P40485",34,2,686,254
"P33322",8,0,483,118
"Q04781",27,25,1562,1025
"P15274",9,6,810,291
"P36533",11,0,70,NA
"Q12043",20,20,749,306
"Q08208",17,0,459,56
"P53303",10,0,486,111
"P46677",15,0,1066,178
"P36008",9,4,412,175
"P22768",16,11,420,154
"P33338",20,11,968,691
"P36100",17,0,482,126
"P14120",13,4,105,47
"Q12018",18,12,815,492
"P33298",19,8,428,180
"Q04991",17,4,504,377
"P15424",7,7,664,249
"Q08924",8,2,1013,12
"P38886",15,13,268,90
"P38131",21,10,464,176
"P32316",27,0,526,184
"P34223",50,0,423,60
"P40563",10,0,679,1
"P15705",27,24,589,389
"P47110",18,10,350,33
"P53076",15,12,958,277
"P19812",29,19,1950,898
"Q12096",13,1,491,191
"P09457",18,15,212,107
"P38797",15,0,343,104
"Q06630",14,1,226,87
"P48015",38,10,400,95
"P17157",13,5,305,113
"P29547",29,10,415,184
"Q12511",27,12,572,175
"P25574",35,0,760,63
"P34241",9,9,1764,1095
"P17423",46,27,357,128
"P54003",11,2,302,138
"P38333",22,0,483,183
"P25567",38,0,434,51
"P32327",51,17,1180,445
"P13185",14,0,1064,189
"Q10740",8,8,671,275
"Q99312",20,11,450,187
"P12385",22,0,437,157
"P43555",18,0,445,116
"P23644",18,0,387,42
"Q12499",34,23,511,267
"P14126",9,0,387,60
"P32790",47,0,1244,69
"P31384",26,0,837,158
"Q99190",9,6,310,172
"P38787",11,0,379,178
"Q02875",19,0,849,82
"P07172",15,10,385,158
"P22517",11,0,447,198
"P22213",8,6,666,250
"P13188",23,10,809,292
"P32602",10,0,292,215
"Q12029",24,5,327,210
"P15019",15,15,335,188
"P40005",10,10,111,76
"Q08689",22,0,176,46
"P53043",8,8,513,226
"P07149",20,15,2051,861
"P48836",15,15,114,91
"P43535",45,18,752,314
"P43561",12,0,622,85
"P38426",26,14,1054,363
"Q12191",37,0,341,59
"P07246",9,6,375,108
"P40527",17,14,1151,527
"P32867",15,15,290,222
"P33317",18,0,147,6
"P18239",12,11,318,239
"P16862",9,0,959,413
"P20449",13,0,482,177
"P20447",28,13,523,185
"P15108",33,24,705,271
"Q06338",24,10,283,83
"P33201",19,2,236,74
"Q05636",10,10,305,96
"P38314",9,0,527,124
"P40582",11,9,234,134
"P53281",7,0,241,29
"P48412",54,13,387,65
"P32480",17,0,875,135
"Q00684",43,5,551,151
"P53185",15,11,909,399
"P54861",14,0,757,368
"P38732",18,10,585,279
"P47017",28,17,172,34
"P32860",15,7,256,93
"Q12466",30,5,1186,211
"Q03281",20,20,663,226
"P40531",10,10,326,243
"Q07457",21,21,700,510
"Q12250",30,26,445,324
"P53091",15,3,1017,298
"P53254",25,7,1237,462
"P41810",47,29,973,519
"P39517",10,1,506,164
"P06101",19,14,506,224
"P54885",23,3,456,197
"P38066",18,0,345,78
"P49089",12,8,572,239
"P25655",16,11,2108,1361
"P34761",32,5,661,54
"Q08686",16,4,304,103
"P12904",23,3,322,127
"P38904",8,0,1435,356
"P38708",22,16,688,241
"Q12265",18,5,496,129
"P19454",10,0,339,140
"Q04924",12,6,702,326
"P38840",21,8,513,206
"P47054",11,9,1683,1088
"P21304",22,14,576,35
"Q05022",18,0,1729,409
"Q03195",13,4,608,211
"P07277",20,15,443,202
"P37292",50,20,490,213
"P32775",18,0,704,203
"P16649",32,0,713,7
"P43639",10,2,278,89
"P41940",25,10,361,98
"Q12377",41,20,434,322
"P38353",30,11,490,333
"P15624",15,4,595,191
"P39533",22,5,789,248
"P32457",19,7,520,193
"P38431",18,13,405,176
