"id","num_amino_acids_in_sample","num_alpha_amino_acids_in_sample","numberofAA","num_aaa"
"Q03407",21,15,766,160
"Q12236",21,15,1081,190
"Q12181",12,4,623,224
"P14306",7,0,219,33
"P49775",22,0,206,66
"Q04344",21,0,158,42
"Q06146",23,0,321,7
"P40959",8,8,511,281
"P54781",13,1,538,285
"Q03769",14,12,411,130
"P25358",30,16,347,219
"Q06704",9,9,911,691
"P17649",19,1,471,180
"P54790",10,1,616,363
"P38112",15,4,773,225
"P35181",7,0,156,66
"P31755",7,6,480,138
"P25617",7,7,290,119
"P05740",10,7,184,56
"P46990",10,7,184,56
"P05738",19,0,191,41
"P51401",19,0,191,41
"Q04299",23,3,284,114
"P39994",27,12,560,246
"P12630",32,1,587,34
"P00854",17,17,259,191
"P38754",9,7,138,56
"P06245",17,9,380,134
"P53067",35,16,1004,691
"P40553",9,0,215,51
"P36136",21,3,271,86
"Q08925",8,3,612,138
"P28791",21,18,383,215
"Q03705",12,0,181,82
"Q08932",19,6,381,93
"P38775",24,12,560,161
"P32802",12,0,667,329
"P38755",14,7,437,103
"P40559",19,14,946,268
"O14455",9,0,100,53
"P40215",16,1,560,224
"P40893",14,0,198,3
"Q6Q547",9,0,58,10
"P07285",9,9,380,199
"P35723",36,14,206,133
"P43555",26,14,445,116
"Q01976",12,12,231,39
"Q05015",13,6,223,80
"P22214",16,14,214,91
"Q07951",13,13,179,60
"Q03629",21,7,201,26
"P38323",12,1,520,183
"P38985",11,6,146,31
"P36046",14,0,403,80
"Q04651",25,13,352,81
"Q12108",16,9,567,211
"P43577",15,8,159,53
"Q6Q546",12,9,73,19
"P37838",10,1,685,167
"P00427",19,12,148,89
"P46957",9,0,487,116
"P15731",27,18,148,55
"P48563",18,17,1636,1059
"Q03722",13,2,664,211
"P53258",9,1,950,494
"P40018",8,0,196,8
"P27351",13,12,700,446
"Q03323",14,12,175,43
"P38170",8,0,754,195
"P36000",11,10,726,481
"Q04500",10,0,899,131
"P12753",8,8,1312,997
"Q03088",16,9,825,222
"P40545",10,3,261,91
"P53301",11,0,507,13
"P30665",9,0,933,282
"P53552",19,10,1597,907
"P36059",11,5,337,172
"P81449",10,10,96,64
"P22336",10,0,621,109
"P40498",33,1,721,207
"Q12089",8,5,606,382
"Q06488",16,0,889,192
"P38805",13,0,295,88
"P53199",9,7,349,156
"P32388",16,13,137,43
"Q12151",10,8,913,284
"Q06096",15,15,861,601
"P53953",15,0,876,259
"P38959",20,0,992,352
"P40554",13,5,99,24
"P36147",19,0,197,110
"P38138",21,3,954,191
"P32656",12,6,232,79
"Q99288",10,10,334,112
"P33317",8,0,147,6
"Q99260",10,0,215,66
"P38063",17,8,326,98
"P54730",30,10,416,78
"P47061",29,28,822,546
"P53297",27,1,722,90
"Q04201",28,0,117,39
"P38068",12,0,203,56
"P36009",12,11,735,303
"P39692",19,10,1035,386
"P53848",21,18,824,279
"P32495",8,0,156,66
"P34761",11,0,661,54
"Q03790",15,0,475,49
"P52893",32,9,592,273
"P32478",10,0,413,14
"Q12091",21,0,152,46
"P21672",38,7,869,372
